S.no,Movie Title,Genre,Budget (Cr),Director Success Rate,Lead Actor Success Rate,IMDb,Trailer Views (M),Box Office Revenue
1,Aadavallu Meeku Johaarlu,Romance,20,71.42,51.72,5.8,9.5,7.72
1,Ala Modalaindi,Romance,4,66.6,65,7.6,0.97,15
2,Ammammagarillu,Romance,1.5,0,23,5.3,0.221,21.5
3,Anni Manchi Sakunamule,Romance,12,66.6,22.22,6.1,3.7,4.45
4,Appudo Ippudo Eppudo,Romance,15,75,55,4.7,3.5,0.7
5,Arya 2,Romance,21,80,52.63,7.5,58,25
6,Ashoka Vanamlo Arjuna Kalyanam,Romance,10,66.66,30,7.4,3.2,9
7,Baby,Romance,10,80,33.3,7.1,22,80
8,Chal Mohan Ranga,Romance,25,33.33,29,5.9,10,8.5
9,Chitralahari,Romance,25,71.42,56.25,7.1,5.8,26.05
10,Color Photo,Romance,1,100,60,8.1,5.9,2.62
11,Dear Comrade,Romance,5,100,46.15,7.3,18,37.33
12,Desamuduru,Romance,10,47.05,52.63,6.2,1.1,36
13,DJ Tillu,Romance,5,25,85.71,7.2,15,125
14,Endukante... Premanta,Romance,26,50,33,6,0.078,129
15,Hello Guru Prema Kosame,Romance,25,62.5,33,7.1,9.3,36
16,Hello!,Romance,14,55.55,40,7.3,13,17.82
17,Hi Nanna,Romance,70,100,65,8.2,2.8,74.57
18,Ishq,Romance,8,55.55,29,7.4,4.9,20
19,Kandireega,Romance,15,33.34,33,6.2,0.06,30
20,Kotha Bangaru Lokam,Romance,3.5,50,16,6.8,15,8
21,Kumari 21F,Romance,10.5,100,42.85,7.6,0.426,21
22,Majili,Romance,5,60,52,7.3,10,68.05
23,Majnu,Romance,1.7,100,65,6.4,0.016,2.18
24,Malli Malli Idi Rani Roju,Romance,15,50,51.72,7.4,0.07,26.2
25,Manmadhudu 2,Romance,30,50,80,4.8,8.4,1
26,Mehbooba,Romance,22,47.05,25,4.6,5.9,3
27,Miss You,Romance,12,33.33,44,6.2,1,3.41
28,Month of Madhu,Romance,1.5,80,55.55,6.8,3.3,2.5
29,Most Eligible Bachelor,Romance,30,100,40,6.2,0.755,50
30,Nenu Sailaja,Romance,20,71.42,33,6.9,1.2,35.64
31,Ninu Kori,Romance,25,60,65,7.5,8.3,55
32,Padi Padi Leche Manasu,Romance,12,60,46.2,6.4,6.6,8
33,Prema Vimanam,Romance,3.5,100,100,6.1,0.485,4.5
34,Prince,Romance,4,75,68.75,4.4,5.5,30
35,Radhe Shyam,Romance,200,20,45.45,5.2,42,140
36,Rarandoi Veduka Chudham,Romance,15,75,52,5.6,4.8,50
37,Laila Majnu,Romance,1.7,50,50,7.7,19,2.18
38,Kalank,Romance,150,33.33,72,3.7,38,145
39,Housefull 4,Romance,189,75,52,3.6,126,197.68
40,Gully Boy,Romance,65,60,56.25,7.9,64,238.16
41,Student of the Year 2,Romance,80,85.7,45,2.2,75,98.16
42,Student of the Year,Romance,59,85.7,74.5,5.3,14,70
43,Luka Chuppi,Romance,25,100,50,6.4,69,75.24
44,Sonu Ke Titu Ki Sweety,Romance,25,60,50,7.1,41,156.46
45,Dream Girl ,Romance,28,67,70,5.2,50,200.8
46,De De Pyaar De,Romance,75,50,46,6.5,76,143
47,Pati Patni Aur Woh,Romance,30,33.33,50,5.8,58,117.7
48,The Zoya Factor,Romance,33,50,50,4.4,23,6.96
49,Bajirao Mastani,Romance,145,60,56.25,7.3,17,356.2
50,Qarib Qarib Single,Romance,8.2,0,50,7.1,15,16.33
51,Toilet: A Love Story,Romance,75,33.33,52,7.2,0.927,311.5
52,Dear Zindagi,Romance,30,100,83.3,7.4,6.4,120
53,Kapoor & Sons,Romance,35,66,60,7.7,16,120.01
54,Ae Dil Hai Mushkil,Romance,100,85.7,60,5.9,23,240
55,OK Jaanu,Romance,27,66,57.89,5.3,28,39.23
56,Jab Harry Met Sejal,Romance,80,50,45,5.1,14,147.76
57,Badrinath Ki Dulhania,Romance,47.5,100,72,6.1,39,194.81
58,Tamasha,Romance,87,50,60,7.4,1.2,136.63
59,Shaadi Mein Zaroor Aana,Romance,13,0,70,7.5,24,19.4
60,Baar Baar Dekho,Romance,53,20,60,5.4,0.313,43.4
61,Shubh Mangal Savdhan,Romance,17,100,70,6.9,18,72.36
62,Roy,Romance,40,0,60,3.2,10,20
63,Befikre,Romance,70,80,56.25,4.1,46,103.99
64,Half Girlfriend,Romance,50,75,26.7,4.7,41,97
65,Singh Is Bliing,Romance,9.1,75,52,5,5.3,12.5
66,Prem Ratan Dhan Payo,Romance,6,80,62.02,4.4,27,43
67,Kis Kisko Pyaar Karoon,Romance,15,75,36,5.6,7.6,7.2
68,Tanu Weds Manu Returns,Romance,39,50,70,7.6,12,255
69,Munna Michael,Romance,32,66,45,3.4,29,34.61
70,Meri Pyaari Bindu,Romance,22,0,70,6.1,2.7,17.7
71,Raabta,Romance,45,80,55.6,4.8,45,39
72,Shaandaar,Romance,60,60,43,3.7,15,75
73,Three of Us,Romance,0.2,50,50,7.5,3.6,0.3
74,Auron Mein Kahan Dum Tha,Romance,10,57,46,6.5,66,12.91
75,Tara vs Bilal,Romance,20,30,20,5.9,9.2,12
76,Teri Baaton Mein Aisa Uljha Jiya,Romance,10,100,43,6.2,61,13.3
77,Atrangi re,Romance,12,50,60,6.5,8.3,20
78,RRR,Action,550,100,54.43,7.8,85,1200
79,Baahubali: The Beginning,Action,180,100,45.45,8,29,650
80,Adipurush,Action,700,50,42.725,2.7,30,388.35
81,Baahubali: The Conclusion,Action,250,100,45.45,8.2,66,1788.06
82,Pushpa: The Rise - Part 1,Action,225,77.78,52.63,7.6,74,393.5
83,Salaar,Action,270,100,45.45,6.6,53,700
84,Kalki 2898 AD,Action,600,100,45.45,7,31,1054.67
85,Pushpa: The Rule - Part 2,Action,450,77.78,52.63,6.1,113,1740
86,1: Nenokkadine,Action,65,77.78,75,8,0.699,30.79
87,Game Changer,Action,450,76.92,57.14,5.5,58,178
88,Daaku Maharaj,Action,100,80,60,6,18,133
89,Devara part 1,Action,300,83.33,51.72,6,49,403.83
90,Hanu Man,Action,40,75,60,7.7,25,294.18
